tailNumber;model;lastCheck;nextCheck;flightHours;status
AM7303;Airbus A350;2024-07-19;2025-12-02;1733;OK
TG7094;Boeing 777;2024-12-25;2026-03-24;508;OK
ET7092;Airbus A320;2025-03-16;2025-09-21;3529;OK
BA1442;Airbus A350;2025-06-01;2026-07-12;3876;OK
LH3478;Boeing 747;2024-07-20;2026-03-19;4566;OK
AC2804;Boeing 747;2024-10-08;2025-06-22;1553;OK
BA1907;Airbus A320;2025-04-20;2026-01-27;4059;OK
SK9521;Airbus A330;2024-07-14;2026-02-06;2031;OK
KL6095;Airbus A320;2025-01-25;2025-11-10;2762;OK
SK6503;Boeing 737;2025-05-17;2025-06-05;867;OK
AM3135;Boeing 747;2024-12-06;2025-05-31;4544;OK
KE5043;Airbus A330;2024-09-20;2026-06-11;3432;OK
AI4437;Airbus A350;2024-08-09;2025-09-15;2803;OK
AZ2844;Airbus A320;2024-10-03;2025-12-07;2152;OK
KL1090;Airbus A350;2024-12-06;2026-05-06;3545;OK
NZ4614;Airbus A320;2024-08-20;2025-07-12;2539;OK
AM6576;Airbus A320;2024-12-13;2026-05-31;916;OK
AZ7819;Boeing 737;2025-01-31;2025-11-27;1884;OK
IB3864;Boeing 747;2024-12-08;2026-04-23;2422;OK
QF4285;Boeing 747;2024-07-17;2026-02-11;1910;OK
KL2216;Airbus A330;2025-06-15;2026-02-28;4124;OK
IB3853;Airbus A350;2024-06-20;2026-01-05;3644;OK
AA7448;Airbus A330;2024-10-16;2025-08-31;4965;OK
DL1887;Boeing 737;2024-10-03;2025-08-03;1916;OK
UA8589;Boeing 737;2024-07-30;2026-07-09;732;OK
LH8573;Airbus A330;2024-08-09;2026-03-24;2840;OK
AM5855;Airbus A350;2024-07-09;2026-04-23;2011;OK
AM4292;Boeing 747;2025-03-16;2026-02-19;2942;OK
AV3764;Airbus A320;2025-05-15;2026-02-27;2377;OK
NH8398;Airbus A350;2024-12-19;2025-10-14;1558;OK
AV6390;Airbus A320;2025-05-06;2025-12-25;1289;OK
KE5891;Boeing 737;2024-11-26;2026-05-16;3402;OK
UA9984;Airbus A330;2024-06-21;2025-06-13;947;OK
UA3491;Airbus A350;2024-09-02;2025-08-06;4821;OK
AV8222;Boeing 777;2024-11-30;2025-12-05;1954;OK
SK2136;Airbus A330;2025-02-04;2026-05-22;2113;OK
AZ8666;Boeing 747;2024-11-10;2025-08-04;2354;OK
SK2386;Airbus A320;2025-02-14;2025-10-30;3846;OK
AV7364;Airbus A330;2025-05-14;2025-11-11;1662;OK
IB9873;Airbus A330;2025-03-10;2025-09-26;4291;OK
QF6818;Boeing 777;2025-05-30;2025-12-09;3832;OK
LH6645;Airbus A320;2024-07-03;2025-07-30;4552;OK
AI9907;Boeing 747;2025-03-24;2025-07-27;3081;OK
KL3748;Boeing 777;2024-11-20;2025-08-18;4410;OK
TG4162;Boeing 777;2025-01-17;2025-11-22;1599;OK
BA7019;Boeing 737;2024-06-28;2025-12-08;976;OK
TG3333;Airbus A350;2025-02-02;2026-07-05;3230;OK
QF3037;Airbus A330;2024-12-18;2025-06-21;1425;OK
ET5945;Airbus A350;2024-09-22;2026-05-11;1300;OK
IB8450;Airbus A330;2025-06-12;2026-07-14;571;OK
TG5206;Boeing 777;2025-06-19;2026-05-25;1031;OK
AI5401;Boeing 737;2024-06-26;2026-06-21;3453;OK
NH9612;Boeing 777;2025-01-17;2026-01-19;3048;OK
SK3007;Boeing 747;2025-04-16;2025-10-29;4027;OK
KE8507;Airbus A320;2024-11-17;2026-02-08;4969;OK
SK9204;Airbus A330;2024-09-24;2026-04-12;215;OK
TG3277;Airbus A330;2025-02-09;2026-01-25;4417;OK
BA6235;Boeing 747;2025-04-26;2025-11-11;4739;OK
DL2657;Airbus A320;2025-01-29;2026-04-21;617;OK
AI6155;Boeing 737;2025-03-16;2026-03-02;3360;OK
EK6800;Airbus A320;2025-04-08;2026-07-19;767;OK
CX9286;Boeing 747;2024-10-08;2026-02-21;4422;OK
UA5079;Airbus A320;2024-07-29;2026-03-22;1301;OK
IB8526;Airbus A350;2025-05-12;2026-05-07;1740;OK
LH7515;Airbus A330;2024-07-18;2025-12-28;3232;OK
EK8700;Boeing 747;2025-02-13;2025-07-26;4614;OK
AM3006;Airbus A330;2025-06-15;2026-06-29;2480;OK
SK9524;Boeing 737;2024-12-12;2026-03-13;2154;OK
QF3355;Boeing 777;2024-08-08;2025-10-09;4201;OK
AF9595;Airbus A330;2024-12-11;2026-04-10;951;OK
KE7320;Airbus A350;2024-09-06;2025-11-08;3125;OK
UA2278;Airbus A320;2025-01-09;2026-02-03;2776;OK
CX6791;Airbus A350;2024-10-26;2026-03-01;899;OK
QR9095;Airbus A320;2025-05-12;2026-04-22;2149;OK
AI8840;Boeing 737;2024-08-21;2025-12-24;3997;OK
LH6171;Airbus A320;2025-01-29;2026-05-07;3236;OK
ET9985;Boeing 747;2025-04-15;2025-07-07;2641;OK
CX7337;Airbus A320;2025-02-05;2025-07-09;219;OK
UA4382;Airbus A320;2024-12-06;2026-05-30;4976;OK
AC1283;Boeing 777;2024-10-27;2025-09-20;1761;OK
SQ9917;Airbus A350;2025-02-13;2025-11-13;248;OK
AI2223;Airbus A350;2024-09-11;2025-10-30;2609;OK
BA2345;Airbus A330;2025-06-04;2025-07-18;4143;OK
WN9889;Boeing 777;2024-10-09;2026-06-19;2882;OK
KE3610;Airbus A330;2025-03-24;2025-12-22;4488;OK
AF5655;Airbus A320;2024-09-26;2025-06-22;665;OK
UA8267;Boeing 777;2024-09-28;2025-09-06;3841;OK
NH5700;Boeing 747;2025-06-08;2025-08-29;4188;OK
ET4158;Boeing 777;2025-02-15;2026-04-18;3596;OK
SA6127;Boeing 747;2024-08-08;2026-01-10;1336;OK
WN8596;Airbus A330;2025-01-04;2025-09-09;4679;OK
SK4970;Boeing 777;2025-05-14;2025-09-12;3208;OK
NH1625;Boeing 747;2024-09-19;2026-03-27;3444;OK
NH8860;Boeing 737;2024-08-18;2025-10-03;2063;OK
AZ6013;Boeing 737;2024-11-24;2025-05-30;3529;OK
AZ2754;Airbus A350;2025-04-14;2026-06-18;4183;OK
KL1655;Airbus A350;2024-11-29;2026-06-03;4037;OK
AV6391;Airbus A320;2025-04-18;2025-11-12;953;OK
QF3102;Boeing 747;2024-07-05;2026-03-11;4541;OK
SK4443;Airbus A350;2025-01-05;2025-12-19;3796;OK
SK8606;Airbus A330;2024-09-04;2025-11-12;2881;OK
EK2146;Airbus A320;2025-04-21;2025-11-29;2530;OK
QF5890;Airbus A330;2024-12-05;2025-08-13;542;OK
SQ5198;Boeing 737;2024-08-19;2025-10-03;1982;OK
AV3392;Boeing 777;2024-08-22;2025-12-09;1010;OK
BA4184;Airbus A350;2025-05-27;2026-07-19;1847;OK
KE9821;Airbus A330;2025-01-26;2025-07-23;3783;OK
AV7365;Airbus A350;2024-08-21;2026-06-03;4980;OK
QR6945;Airbus A320;2025-04-17;2026-07-28;4243;OK
WN3720;Boeing 747;2024-12-05;2026-04-25;2360;OK
QR5930;Airbus A320;2024-09-22;2026-01-14;3451;OK
KE3851;Boeing 747;2024-06-24;2025-10-20;4031;OK
LA5369;Boeing 777;2024-09-02;2025-09-12;2377;OK
SA8434;Boeing 737;2025-06-04;2025-11-30;1952;OK
CX3155;Airbus A330;2025-01-15;2026-02-13;1935;OK
SK4476;Boeing 747;2025-05-10;2025-12-09;1365;OK
NH3973;Boeing 777;2025-05-15;2026-03-08;2192;OK
ET1652;Boeing 737;2025-06-16;2026-06-23;4877;OK
QF9447;Airbus A320;2024-12-10;2025-10-02;983;OK
QR7340;Boeing 777;2025-06-04;2026-04-10;3040;OK
NH7502;Airbus A330;2024-09-28;2026-03-12;4758;OK
AM4317;Boeing 777;2025-06-18;2025-11-23;2307;OK
SA8435;Airbus A350;2025-03-03;2026-02-24;1579;OK
QF2795;Boeing 777;2024-10-17;2025-07-19;2493;OK
NH9125;Airbus A350;2025-03-08;2026-05-30;912;OK
SQ8152;Airbus A350;2025-01-30;2026-05-11;133;OK
AF7550;Airbus A320;2024-09-01;2026-04-07;484;OK
WN2862;Boeing 747;2025-06-19;2026-05-23;1471;OK
AM3602;Boeing 777;2025-01-18;2026-05-18;1860;OK
QF6795;Boeing 737;2024-11-01;2025-10-07;2117;OK
CX4540;Airbus A330;2024-06-28;2026-04-06;2012;OK
AM5243;Boeing 747;2024-11-17;2025-08-05;805;OK
LA4492;Airbus A320;2024-08-30;2025-10-10;3152;OK
NZ9098;Boeing 747;2024-09-13;2026-01-10;3101;OK
BA8980;Boeing 747;2025-03-17;2025-09-04;809;OK
SA2287;Airbus A350;2024-11-06;2026-02-06;1856;OK
WN2544;Airbus A320;2025-04-21;2025-08-22;3526;OK
QF6150;Airbus A330;2025-03-01;2025-07-24;3003;OK
QF4565;Boeing 777;2025-05-15;2025-07-21;2731;OK
BA4740;Airbus A330;2024-08-12;2026-04-07;3763;OK
ET8852;Airbus A350;2024-06-26;2025-07-28;749;OK
AM8764;Boeing 747;2024-07-11;2026-06-27;3776;OK
QF1378;Boeing 737;2025-05-12;2025-08-15;4422;OK
AC8457;Airbus A320;2024-12-06;2026-01-12;3513;OK
KE7832;Boeing 737;2024-07-10;2025-06-29;1854;OK
AZ7115;Airbus A320;2024-07-03;2025-07-19;1181;OK
WN1167;Boeing 747;2024-07-20;2026-07-19;837;OK
UA1770;Airbus A330;2024-08-19;2026-03-08;3169;OK
ET4205;Boeing 777;2025-01-19;2026-02-24;4946;OK
ET7935;Boeing 747;2025-01-14;2025-07-24;816;OK
SQ2732;Airbus A320;2024-12-14;2025-07-16;1585;OK
KL6936;Airbus A330;2025-04-21;2026-06-02;1425;OK
AV8175;Airbus A350;2025-04-15;2025-09-28;4106;OK
LH1276;Airbus A320;2024-11-07;2026-05-24;3544;OK
AF2120;Boeing 737;2025-05-23;2026-03-01;3030;OK
KE9236;Boeing 737;2024-07-13;2026-01-29;2096;OK
CX7004;Airbus A350;2024-09-04;2025-07-17;3256;OK
CX2657;Boeing 777;2025-03-20;2026-05-11;4128;OK
SA4429;Boeing 737;2025-04-23;2025-12-29;1397;OK
LH6965;Airbus A350;2025-05-15;2026-04-05;3524;OK
TG1736;Airbus A350;2025-05-18;2025-09-20;4665;OK
QR2379;Airbus A320;2025-05-22;2025-12-11;569;OK
CX8353;Boeing 737;2024-09-27;2025-08-27;4050;OK
TG8145;Boeing 777;2025-01-10;2026-05-23;3642;OK
SA4783;Boeing 777;2024-07-22;2025-06-18;1021;OK
SK6623;Airbus A350;2024-06-21;2026-01-26;4839;OK
QF5776;Boeing 737;2024-10-03;2026-05-30;387;OK
AM6493;Airbus A330;2025-01-05;2026-05-19;919;OK
AM7304;Airbus A350;2024-09-21;2026-07-06;333;OK
LH3045;Airbus A320;2024-07-12;2025-12-31;1972;OK
SQ3769;Airbus A320;2025-06-16;2026-06-09;4453;OK
AZ9034;Airbus A320;2025-04-19;2026-04-28;2973;OK
ET3931;Airbus A330;2025-05-04;2025-08-10;1166;OK
NH6916;Airbus A330;2025-05-01;2026-03-19;4556;OK
AZ7820;Boeing 737;2024-07-29;2026-02-21;4640;OK
AI1305;Airbus A320;2025-06-13;2025-12-24;4952;OK
ET6593;Boeing 737;2024-10-15;2025-06-01;3935;OK
AI8841;Boeing 777;2024-11-29;2026-01-21;3703;OK
AV8306;Boeing 777;2025-06-09;2025-11-15;852;OK
BA4990;Airbus A320;2024-07-29;2026-06-26;2077;OK
LH8760;Boeing 747;2024-12-04;2025-08-18;4634;OK
BA5635;Airbus A350;2024-09-02;2025-06-28;926;OK
EK4610;Airbus A320;2025-03-28;2025-06-30;4312;OK
BA2542;Boeing 747;2025-01-21;2025-10-10;4044;OK
SK7694;Airbus A330;2024-09-02;2025-06-19;1161;OK
SA2730;Boeing 777;2025-03-08;2025-07-15;1235;OK
IB7558;Airbus A350;2024-08-22;2025-11-10;3830;OK
TG5187;Boeing 737;2025-04-18;2026-02-04;131;OK
AZ1674;Boeing 777;2025-06-01;2026-03-25;1106;OK
KE8563;Boeing 737;2025-01-23;2026-05-25;3778;OK
AI6348;Airbus A320;2024-09-06;2025-06-21;1749;OK
EK5372;Airbus A320;2025-05-21;2026-07-15;1345;OK
AM2655;Airbus A330;2025-04-23;2026-01-13;2464;OK
AV4168;Boeing 737;2024-06-23;2026-01-24;4807;OK
QR6944;Airbus A330;2024-11-14;2026-03-30;4353;OK
IB1137;Airbus A330;2024-06-27;2026-05-17;3903;OK
ET6504;Boeing 777;2025-06-12;2025-11-03;4897;OK
NZ6282;Boeing 777;2025-05-26;2026-05-03;3470;OK
KE2453;Boeing 777;2025-05-22;2025-08-15;681;OK
NZ8627;Boeing 747;2025-04-22;2026-07-17;1236;OK
AM9071;Airbus A320;2024-12-24;2025-11-19;3517;OK
DL4436;Airbus A320;2024-10-07;2025-10-10;107;OK
UA6087;Boeing 747;2025-04-09;2026-05-03;2132;OK
NH6177;Boeing 737;2024-10-27;2026-03-22;2678;OK
QR7324;Airbus A350;2024-07-03;2025-11-22;1871;OK
KL3038;Boeing 737;2025-05-05;2026-03-13;4526;OK
QF8051;Boeing 737;2025-03-27;2025-11-16;852;OK
WN9630;Airbus A320;2025-01-07;2026-03-09;2391;OK
QR3146;Boeing 747;2025-02-24;2025-12-25;2946;OK
LH3182;Airbus A330;2024-10-20;2026-06-29;3789;OK
SA1191;Boeing 737;2025-05-18;2026-06-18;4078;OK
UA6785;Airbus A350;2024-08-06;2025-11-30;2942;OK
NZ3511;Airbus A350;2025-03-29;2025-11-28;705;OK
AV3547;Airbus A350;2025-02-02;2026-05-22;1909;OK
WN8565;Airbus A330;2024-08-15;2026-05-23;2619;OK
LH3163;Airbus A350;2024-08-19;2025-09-05;4847;OK
UA5373;Boeing 777;2025-05-10;2025-09-26;752;OK
BA7961;Airbus A330;2025-01-04;2025-09-04;373;OK
SK7367;Airbus A350;2025-03-30;2025-08-14;3723;OK
AA8220;Airbus A320;2024-08-13;2025-07-30;4888;OK
SQ5580;Boeing 747;2024-09-18;2026-02-01;3535;OK
NZ6283;Airbus A320;2025-03-19;2026-07-06;3966;OK
LA2115;Boeing 737;2024-12-31;2026-03-10;681;OK
TG5404;Boeing 737;2024-09-30;2025-08-08;729;OK
SQ2482;Boeing 747;2024-11-02;2026-06-14;901;OK
DL7850;Boeing 737;2024-11-22;2026-03-23;4427;OK
SK5012;Airbus A350;2024-09-08;2026-01-14;3659;OK
AM9824;Boeing 747;2024-08-28;2025-11-24;2304;OK
QF1329;Airbus A350;2025-01-06;2025-11-06;1991;OK
QF3876;Boeing 777;2024-11-28;2025-10-25;723;OK
AM1425;Airbus A350;2024-12-08;2026-03-15;1809;OK
AZ2467;Airbus A320;2024-11-29;2026-07-20;2884;OK
BA1785;Boeing 737;2025-02-14;2026-04-17;1881;OK
AI5535;Boeing 747;2024-06-26;2026-01-05;2726;OK
EK2123;Airbus A330;2025-04-22;2025-07-31;1631;OK
SQ6228;Boeing 747;2025-02-06;2025-11-11;2113;OK
NZ9967;Airbus A330;2024-08-08;2026-03-11;2766;OK
AI4444;Boeing 737;2025-02-23;2026-04-21;4051;OK
KE5892;Boeing 737;2024-10-22;2026-05-14;3099;OK
AF1722;Boeing 747;2025-02-14;2026-02-04;3139;OK
QR2424;Airbus A350;2024-11-22;2026-07-15;4806;OK
NH4423;Airbus A330;2025-03-10;2026-02-01;2796;OK
AI5502;Airbus A320;2024-11-10;2025-09-01;3528;OK
SQ5378;Boeing 737;2025-03-03;2025-12-30;3276;OK
AC5159;Boeing 747;2025-06-14;2025-06-01;2653;OK
WN3151;Boeing 737;2024-10-05;2026-02-19;3277;OK
AI8523;Airbus A330;2025-04-17;2026-03-21;2470;OK
AA3879;Airbus A320;2024-10-27;2026-01-04;3447;OK
LA3981;Boeing 737;2025-04-22;2026-04-02;669;OK
KL5799;Boeing 737;2025-01-12;2025-08-11;3476;OK
AI2783;Airbus A330;2024-12-04;2026-05-30;3242;OK
ET2308;Boeing 777;2024-11-29;2026-04-17;2616;OK
BA3914;Airbus A320;2025-02-16;2025-09-05;4928;OK
QF8052;Airbus A330;2024-07-02;2026-03-16;3865;OK
NH8743;Airbus A320;2025-04-18;2025-11-27;1790;OK
QR5348;Boeing 737;2025-01-16;2026-07-17;268;OK
AZ7831;Boeing 777;2024-06-28;2026-01-25;3586;OK
QF4792;Boeing 747;2024-08-08;2025-11-08;4508;OK
SQ3555;Boeing 737;2024-11-08;2026-01-18;4514;OK
CX4778;Boeing 747;2025-03-05;2026-04-19;4200;OK
AA8769;Boeing 737;2024-08-16;2026-05-16;4151;OK
LA1544;Airbus A330;2025-03-10;2026-01-24;2226;OK
AF8339;Boeing 777;2025-02-21;2025-09-29;3417;OK
LA2475;Airbus A320;2025-04-06;2025-07-17;108;OK
BA9625;Boeing 737;2025-03-18;2026-01-07;1597;OK
DL3679;Airbus A350;2024-08-30;2025-12-12;3251;OK
NZ1172;Airbus A350;2025-06-15;2025-07-20;2871;OK
AV4300;Airbus A320;2024-10-14;2025-09-20;2107;OK
NH3141;Boeing 747;2025-04-05;2025-10-23;4743;OK
NH6529;Airbus A320;2025-05-16;2026-06-03;1488;OK
KE3317;Airbus A320;2025-05-11;2025-11-25;3806;OK
IB2817;Airbus A350;2025-03-25;2025-12-31;3465;OK
QF6897;Boeing 747;2025-04-19;2025-10-14;683;OK
EK3851;Boeing 777;2024-09-29;2025-07-30;1050;OK
UA5184;Boeing 777;2024-09-09;2025-06-22;3334;OK
SQ2653;Boeing 737;2024-07-20;2025-05-31;1207;OK
AC2767;Boeing 737;2025-05-29;2025-06-01;2352;OK
IB5135;Boeing 747;2025-01-11;2025-11-24;501;OK
DL6443;Boeing 777;2025-02-27;2025-09-08;4408;OK
SA4087;Boeing 777;2024-08-11;2026-07-22;4082;OK
LH2007;Airbus A350;2025-05-05;2026-05-26;1573;OK
AM4620;Airbus A330;2024-12-03;2026-02-18;2831;OK
AA1670;Boeing 747;2025-02-28;2025-11-20;4431;OK
TG3165;Boeing 747;2024-12-01;2026-04-17;4390;OK
SK4444;Airbus A320;2025-04-05;2025-08-22;2065;OK
KL5452;Boeing 747;2025-05-16;2025-11-19;2759;OK
TG7226;Airbus A320;2025-01-20;2025-08-01;4208;OK
TG5846;Airbus A330;2024-07-28;2026-05-21;2048;OK
UA3391;Boeing 777;2024-08-31;2025-11-09;3973;OK
AM6760;Airbus A320;2024-12-24;2026-05-21;2631;OK
AM5180;Boeing 737;2024-11-29;2025-06-15;4795;OK
SA4549;Boeing 737;2024-09-08;2026-05-27;2113;OK
NZ5165;Airbus A350;2024-11-08;2026-04-06;371;OK
CX8117;Boeing 777;2025-04-07;2026-04-07;3044;OK
NH8541;Airbus A320;2024-09-04;2026-02-20;1012;OK
NZ3512;Boeing 777;2025-04-14;2025-10-31;2791;OK
AV6609;Boeing 747;2025-02-02;2026-02-26;2966;OK
AI4833;Airbus A330;2025-01-09;2026-04-06;288;OK
KE6519;Airbus A350;2024-11-17;2025-07-20;148;OK
WN7757;Boeing 737;2025-05-26;2026-06-12;233;OK
ET6785;Boeing 737;2025-03-01;2025-11-05;4684;OK
CX4721;Airbus A350;2025-03-05;2026-05-28;4357;OK
NH5949;Airbus A320;2024-06-25;2026-06-26;3956;OK
DL2266;Boeing 737;2024-07-25;2026-06-22;2642;OK
BA2359;Airbus A330;2024-09-06;2026-04-29;2786;OK
AF7952;Airbus A350;2025-02-01;2025-10-19;4021;OK
BA7967;Airbus A330;2025-05-28;2025-10-23;3613;OK
QF1330;Boeing 737;2024-08-02;2026-07-25;1757;OK
QF8392;Airbus A330;2025-03-10;2026-04-30;3117;OK
AZ4071;Boeing 777;2025-04-06;2025-10-28;813;OK
AF8227;Boeing 737;2024-09-30;2025-11-09;3011;OK
SQ1871;Airbus A350;2025-05-11;2025-12-13;1848;OK
QR5322;Airbus A320;2025-03-22;2026-02-13;3721;OK
AF8541;Airbus A320;2025-01-12;2025-07-03;4876;OK
QR6609;Airbus A350;2025-02-13;2025-08-10;2961;OK
ET4833;Boeing 777;2024-08-11;2026-05-23;1757;OK
SA5364;Airbus A320;2025-02-04;2026-03-11;2543;OK
QF2015;Boeing 777;2025-01-19;2025-10-09;755;OK
AC2768;Boeing 777;2024-06-28;2025-12-15;3272;OK
SQ2818;Boeing 747;2024-07-28;2026-01-07;1850;OK
UA6826;Boeing 737;2025-06-03;2025-12-26;2962;OK
AZ4962;Airbus A330;2025-01-02;2026-01-03;842;OK
AI6595;Boeing 737;2024-07-10;2026-06-14;251;OK
UA9619;Airbus A350;2025-01-06;2026-03-29;1037;OK
EK8568;Boeing 747;2025-05-15;2025-05-30;4096;OK
KE1522;Boeing 747;2024-12-31;2026-01-14;4522;OK
AC5160;Boeing 747;2025-06-02;2026-04-23;3843;OK
AV3548;Airbus A330;2025-01-01;2026-02-07;4749;OK
WN9434;Airbus A320;2025-02-17;2025-09-08;4258;OK
CX4113;Airbus A320;2025-01-26;2026-01-13;1128;OK
AM8497;Boeing 747;2025-02-19;2026-04-05;645;OK
NZ1302;Boeing 747;2024-08-16;2025-11-22;2714;OK
LH7411;Airbus A330;2025-02-01;2025-08-07;4323;OK
NH7606;Airbus A330;2025-04-11;2025-09-28;1140;OK
WN5860;Airbus A350;2024-07-28;2026-03-29;1490;OK
UA8748;Boeing 747;2025-02-05;2026-07-24;2312;OK
WN8701;Airbus A320;2024-12-09;2025-09-12;1448;OK
LA3026;Airbus A330;2024-08-15;2026-03-09;4302;OK
IB4796;Airbus A350;2024-10-13;2026-07-27;4846;OK
NH3168;Airbus A320;2024-12-17;2026-05-17;455;OK
SK2434;Boeing 747;2025-03-09;2026-03-04;3194;OK
AC1444;Airbus A350;2025-03-07;2025-08-31;4637;OK
AF3819;Airbus A330;2024-08-03;2026-05-26;1322;OK
LH8277;Airbus A330;2024-07-25;2026-02-13;2124;OK
AV9115;Airbus A330;2024-10-06;2026-02-06;4934;OK
AF6719;Airbus A320;2024-08-05;2025-06-30;1468;OK
SA4548;Boeing 747;2024-07-08;2026-05-07;2961;OK
LA4783;Boeing 777;2025-05-21;2025-08-01;4596;OK
SA2417;Boeing 747;2025-01-16;2025-10-18;2639;OK
IB5615;Boeing 747;2024-10-31;2026-06-14;3548;OK
AC7380;Airbus A350;2025-05-12;2025-11-11;720;OK
LH1978;Boeing 747;2024-07-21;2026-06-16;4490;OK
SK4478;Boeing 747;2024-06-24;2026-05-04;4132;OK
EK3102;Boeing 777;2025-02-23;2025-10-07;3994;OK
EK7294;Boeing 737;2025-03-22;2026-07-06;320;OK
TG7432;Boeing 777;2025-04-30;2025-12-13;153;OK
KE1926;Airbus A320;2025-04-17;2025-06-20;816;OK
AZ6527;Airbus A320;2024-07-23;2025-10-04;2815;OK
EK4358;Boeing 747;2024-08-21;2025-12-11;1167;OK
UA7107;Boeing 747;2024-12-21;2025-07-25;1439;OK
KE1663;Boeing 777;2024-07-31;2025-08-10;4785;OK
AA6888;Boeing 777;2025-02-01;2025-06-25;3230;OK
AV2656;Airbus A320;2025-05-12;2025-07-24;3140;OK
LH7516;Boeing 737;2025-05-22;2025-06-18;4554;OK
AM4621;Airbus A320;2025-05-23;2026-03-24;2736;OK
SQ8993;Airbus A330;2025-05-18;2025-12-21;1539;OK
LH5523;Airbus A320;2024-12-15;2026-07-03;764;OK
SA4858;Boeing 777;2024-12-27;2026-07-04;2432;OK
CX8540;Boeing 747;2024-08-17;2025-10-10;3738;OK
AZ8816;Boeing 747;2025-03-04;2025-07-01;1294;OK
AV5663;Boeing 737;2024-08-18;2025-09-20;1639;OK
AC4052;Boeing 747;2025-02-14;2025-10-07;4521;OK
AA2833;Airbus A350;2025-04-08;2026-07-03;1933;OK
LH3292;Boeing 737;2024-07-31;2026-04-04;246;OK
UA4383;Boeing 747;2025-04-10;2025-12-12;1267;OK
NH6836;Boeing 777;2025-01-08;2026-06-19;1251;OK
WN1086;Airbus A350;2025-04-17;2025-10-27;1608;OK
IB2418;Airbus A320;2024-11-07;2026-01-15;4586;OK
TG4764;Boeing 747;2025-01-23;2025-07-23;1234;OK
KE9016;Boeing 737;2024-09-17;2025-08-14;2345;OK
AZ5348;Boeing 747;2024-12-20;2026-01-02;3442;OK
SK9628;Boeing 777;2025-04-01;2025-10-03;4884;OK
SK8444;Boeing 737;2024-07-13;2026-03-30;2989;OK
NZ1569;Boeing 737;2025-02-15;2025-06-16;570;OK
IB3113;Airbus A320;2024-11-21;2026-03-06;1139;OK
WN7674;Boeing 737;2025-05-17;2025-09-08;3726;OK
QF5718;Airbus A350;2024-07-16;2025-06-11;3055;OK
IB2849;Airbus A320;2024-11-17;2026-06-23;4050;OK
AC7381;Boeing 747;2025-03-31;2025-12-27;4796;OK
NH8056;Boeing 737;2024-08-23;2025-12-31;2739;OK
AF6385;Airbus A330;2025-06-07;2026-04-12;1357;OK
KL6392;Boeing 737;2025-04-25;2025-07-29;2843;OK
KE6235;Boeing 747;2024-08-31;2025-06-05;3317;OK
SK6642;Airbus A320;2024-12-25;2026-05-14;1331;OK
AC7975;Boeing 747;2025-01-25;2025-10-10;972;OK
AI7555;Airbus A350;2024-09-30;2026-05-22;1581;OK
WN1985;Airbus A350;2024-07-23;2025-12-12;731;OK
